16,30,63,126,180,252,360,441,504
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
104,ice_fileunits_release_all_fileunits_,1860,1780,2030,1770,1760,1630,1860,1710,1790
105,ice_atmo_atmo_boundary_layer_,723198640,418611630,9958390,5687590,72075920,4430720,40275730,3576390,3725040
106,ice_blocks_get_block_,11601730,13990140,10726580,8810880,8833650,7486250,8751110,7001500,7815620
107,ice_calendar_calendar_,785690,434270,498920,556910,661160,597980,452800,498740,504700
108,ice_calendar_get_daycal_,145070,110170,90160,114850,100840,107390,95310,111840,118820
109,ice_calendar_leap_year_count_,199450,131440,94810,70560,99840,63650,61790,62630,87180
110,ice_distribution_ice_distributionget_,943120,950010,965230,865300,870270,815040,831320,747760,885550
111,ice_distribution_ice_distributiongetblockid_,876460,773520,744560,723920,742620,682130,696540,692980,671420
112,ice_global_reductions_global_sum_dbl_,72921280,40841690,20322080,11386680,9440350,6748970,5620780,4776020,4530050
113,ice_global_reductions_global_sum_scalar_dbl_,5570,12970,5660,6210,5440,5310,5590,5380,5340
114,ice_global_reductions_global_sum_scalar_int_,3440,3340,3150,3390,3280,3220,3010,3010,2970
115,ice_global_reductions_global_sum_prod_dbl_,143928510,80944700,39741590,22837630,16103150,12432650,9939960,8650280,8848650
116,ice_global_reductions_global_maxval_dbl_,882010,453510,261040,162360,146340,101670,95950,76740,79240
117,ice_boundary_ice_haloupdate2dr8_,27328840,30501390,21455620,18780620,29130700,18021400,29824350,18969500,15739090
118,ice_boundary_ice_haloupdate2di4_,4777420,5384800,3784520,3173670,5095720,3096630,4818650,3332840,2906310
119,ice_boundary_ice_haloupdate3dr8_,845680670,985645540,602721100,502843340,847780050,443849480,842233400,475159460,407835790
120,ice_boundary_ice_haloupdate4dr8_,791690910,1769105280,604971250,451082210,632043880,179471270,642112460,418147330,165788220
121,ice_state_bound_state_,4117380,2979430,3036780,2751350,4151800,2419230,3104780,2400580,1984130
122,ice_gather_scatter_gatherarray_dbl_,730,490,770,650,690,700,650,470,580
123,ice_pio_ice_pio_init_,884560,2708670,683460,39220,1151610,1486120,32320,36750,1730820
124,ice_pio_ice_pio_initdecomp_2d_,25760,16310,10530,8030,7660,6790,8140,6860,7160
125,ice_pio_ice_pio_initdecomp_3d_,551710,302660,149560,76630,73710,42670,54150,30010,25880
126,ice_flux_init_history_therm_,35512650,34104200,12449720,5859040,7091730,3360870,6527400,2544210,2460880
127,ice_flux_init_history_dyn_,40926950,23844900,10650210,5778790,5364790,3346050,5728190,2762070,2555920
128,ice_flux_merge_fluxes_,32264590,19135310,43400,68250,3432700,86230,1963750,49600,90960
129,ice_flux_scale_fluxes_,29794930,17438060,7947840,4491570,5342910,2825900,4053860,2054420,2042510
130,ice_timers_ice_timer_start_,45897660,43341240,36125550,33425720,34320220,33706810,35107990,32505370,31372950
131,ice_timers_ice_timer_stop_,40347190,41550660,39278420,35303630,33540430,33270260,32611840,33780950,31778210
132,ice_timers_ice_timer_print_,14180,13610,13150,13860,14980,13030,15010,17260,16150
133,ice_timers_ice_timer_print_all_,4160,2330,1990,2200,2540,2560,1930,2050,2600
134,ice_itd_aggregate_,352955180,715997500,312605880,162546090,190089870,90673340,143773160,64172660,54068240
135,ice_itd_aggregate_area_,53937900,28002030,12264260,5870790,9239050,3587670,7318530,2757000,2363040
136,ice_itd_rebin_,34876530,20885380,797900,886240,4418460,930660,2640290,864560,869750
137,ice_itd_column_sum_,134446430,175608790,88248220,38863460,28987580,19462630,16359350,12010730,10333720
138,ice_itd_column_conservation_check_,6944740,11371210,4860570,2508850,2116760,1374440,1260480,923830,835770
139,ice_itd_compute_tracers_,676347070,651072930,215085670,109313750,170096200,60050420,127926160,34503280,35007520
140,ice_itd_cleanup_itd_,65891000,35377550,18438270,10731540,12388230,6886870,9763070,5652950,4892300
141,ice_itd_zap_small_areas_,85636910,60741290,22762040,13821720,15463040,6868910,12281960,4925410,4513310
142,ice_probability_accum_numicecells2_,2686000,1605800,747310,404500,310210,270850,243150,169110,195700
143,ice_mechred_ridge_ice_,38830120,60233180,30783040,17098910,13881030,11177450,12668850,8861220,7419420
144,ice_mechred_asum_ridging_,23302500,32509720,13328950,6336420,5603670,3601370,3445660,2246290,2006460
145,ice_mechred_ridge_prep_,7941770,8845790,4029920,1969430,1747870,1090810,1288450,684890,551930
146,ice_mechred_ridge_itd_,393967100,470536970,163240840,80023600,83450520,41045600,46390880,24138180,20923930
147,ice_mechred_ridge_shift_,1741259290,1266584360,244456840,104493050,201204960,54185680,109727570,36348350,30525320
148,ice_mechred_ridge_check_,1616580,3046260,1420090,723010,622640,423220,404260,298340,255220
149,ice_mechred_ice_strength_,37469950,24685890,1943480,1213880,7495480,1307990,4762810,1116280,1123280
150,ice_therm_itd_add_new_ice_,3539200,5509210,3660650,2057880,2131780,1450250,2637590,2562460,1295350
151,ice_therm_itd_lateral_melt_,39896060,24703670,1892020,1224550,4211110,875710,2357050,487930,483940
152,ice_grid_t2ugrid_vector_,14411560,6156070,4706470,2335090,2917710,2010530,2568160,1820400,1542960
